path	remote_url	org_class	total_commits	local_only_commits	our_identity_commits	testuser_commits	note	class
cli_agents/xela-cli	git@github.com:vasic-digital/caf-xela-cli.git	OURS	20	0	0	0		OURS_FORK_MIRROR
cli_agents/zeroshot	git@github.com:vasic-digital/caf-zeroshot.git	OURS	376	0	0	0		OURS_FORK_MIRROR
cli_agents_resources/Awesome-AI-Agents	git@github.com:e2b-dev/awesome-ai-agents.git	THIRD_PARTY	468	0	0	0		THIRD_PARTY_VENDORED
cli_agents_resources/Awesome-AI-GPTs	git@github.com:EmbraceAGI/Awesome-AI-GPTs.git	THIRD_PARTY	55	0	0	0		THIRD_PARTY_VENDORED
cli_agents_resources/Cheshire-Cat-Ai/CC-AI-Docs	git@github.com:cheshire-cat-ai/docs.git	THIRD_PARTY	860	0	0	0		THIRD_PARTY_VENDORED
cli_agents_resources/GitHub-Awesome-Copilot	git@github.com:github/awesome-copilot.git	THIRD_PARTY	1914	0	0	0		THIRD_PARTY_VENDORED
cli_agents_resources/OpenAI-Cookbook	org-14957082@github.com:openai/openai-cookbook.git	THIRD_PARTY	1407	0	0	0		THIRD_PARTY_VENDORED
cli_agents_resources/Taches-CC-Resources	git@github.com:glittercowboy/taches-cc-resources.git	THIRD_PARTY	63	0	0	0		THIRD_PARTY_VENDORED
constitution	git@github.com:HelixDevelopment/HelixConstitution.git	OURS	292	0	292	0		OURS_DEVELOPED
constitution/submodules/session_orchestrator	git@github.com:vasic-digital/session_orchestrator.git	OURS	8	0	8	0		OURS_DEVELOPED
constitution/submodules/token_optimizer	git@github.com:vasic-digital/token_optimizer.git	OURS	25	0	25	0		OURS_DEVELOPED
dependencies/HuggingFace_Hub	git@github.com:huggingface/huggingface_hub.git	THIRD_PARTY	2569	0	0	0		THIRD_PARTY_VENDORED
dependencies/LLama_CPP	git@github.com:ggml-org/llama.cpp.git	THIRD_PARTY	9873	0	0	0		THIRD_PARTY_VENDORED
dependencies/Ollama	git@github.com:ollama/ollama.git	THIRD_PARTY	5509	0	0	0		THIRD_PARTY_VENDORED
github_pages_website	git@github.com:HelixDevelopment-Code/Welcome.git	OURS	85	0	85	0		OURS_DEVELOPED
mcp_servers	git@github.com:modelcontextprotocol/servers.git	THIRD_PARTY	4130	0	0	0		THIRD_PARTY_VENDORED
submodules/agentic	git@github.com:vasic-digital/Agentic.git	OURS	38	0	38	0		OURS_DEVELOPED
submodules/auth	git@github.com:vasic-digital/Auth.git	OURS	119	0	107	0		OURS_DEVELOPED
submodules/auto_temp	git@github.com:vasic-digital/AutoTemp.git	OURS	28	0	28	0		OURS_DEVELOPED
submodules/background_tasks	git@github.com:vasic-digital/BackgroundTasks.git	OURS	49	0	49	0		OURS_DEVELOPED
submodules/benchmark	git@github.com:vasic-digital/Benchmark.git	OURS	33	0	33	0		OURS_DEVELOPED
submodules/cache	git@github.com:vasic-digital/Cache.git	OURS	117	0	114	0		OURS_DEVELOPED
submodules/challenges	git@github.com:vasic-digital/Challenges.git	OURS	418	0	413	1		OURS_DEVELOPED
submodules/claritas	git@github.com:vasic-digital/Claritas.git	OURS	26	0	26	0		OURS_DEVELOPED
submodules/claude-toolkit	git@github.com:vasic-digital/claude-toolkit.git	OURS	208	0	208	0		OURS_DEVELOPED
submodules/claude-toolkit/submodules/LLMsVerifier	git@github.com:vasic-digital/LLMsVerifier.git	OURS	646	0	646	0		OURS_DEVELOPED
submodules/claude-toolkit/submodules/challenges	git@github.com:vasic-digital/challenges.git	OURS	410	0	405	1		OURS_DEVELOPED
submodules/claude-toolkit/submodules/containers	git@github.com:vasic-digital/containers.git	OURS	398	0	396	0		OURS_DEVELOPED
submodules/concurrency	git@github.com:vasic-digital/Concurrency.git	OURS	121	0	107	0		OURS_DEVELOPED
submodules/config	git@github.com:vasic-digital/Config.git	OURS	81	0	79	0		OURS_DEVELOPED
submodules/containers	git@github.com:vasic-digital/Containers.git	OURS	398	0	396	0		OURS_DEVELOPED
submodules/conversation	git@github.com:vasic-digital/conversation.git	OURS	36	0	36	0		OURS_DEVELOPED
submodules/dag_orchestrator	git@github.com:HelixDevelopment/DagOrchestrator.git	OURS	4	0	4	0		OURS_DEVELOPED
submodules/database	git@github.com:vasic-digital/Database.git	OURS	125	0	113	0		OURS_DEVELOPED
submodules/debate_orchestrator	git@github.com:HelixDevelopment/DebateOrchestrator.git	OURS	29	0	29	0		OURS_DEVELOPED
submodules/doc_processor	git@github.com:HelixDevelopment/DocProcessor.git	OURS	160	0	160	0		OURS_DEVELOPED
submodules/docs_chain	git@github.com:vasic-digital/docs_chain.git	OURS	24	0	24	0		OURS_DEVELOPED
submodules/document	git@github.com:vasic-digital/Document.git	OURS	25	0	25	0		OURS_DEVELOPED
submodules/embeddings	git@github.com:vasic-digital/Embeddings.git	OURS	44	0	44	0		OURS_DEVELOPED
submodules/event_bus	git@github.com:vasic-digital/EventBus.git	OURS	72	0	70	0		OURS_DEVELOPED
submodules/filesystem	git@github.com:vasic-digital/Filesystem.git	OURS	45	0	42	0		OURS_DEVELOPED
submodules/formatters	git@github.com:vasic-digital/Formatters.git	OURS	57	0	57	0		OURS_DEVELOPED
submodules/gandalf_solutions	git@github.com:vasic-digital/GandalfSolutions.git	OURS	27	0	27	0		OURS_DEVELOPED
submodules/helix_agent	git@github.com:HelixDevelopment/HelixAgent.git	OURS	2790	0	2760	0		OURS_DEVELOPED
submodules/helix_agent/BuildCheck	git@github.com:milos85vasic/BuildCheck.git	OURS	11	0	11	0		OURS_DEVELOPED
submodules/helix_agent/MCP/submodules/airtable-mcp	git@github.com:domdomegg/airtable-mcp-server.git	THIRD_PARTY	131	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/all-in-one-mcp	git@github.com:athapong/aio-mcp.git	THIRD_PARTY	37	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/appcypher-awesome-mcp	git@github.com:appcypher/awesome-mcp-servers.git	THIRD_PARTY	177	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/atlassian-mcp	git@github.com:sooperset/mcp-atlassian.git	THIRD_PARTY	609	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/awesome-devops-mcp	git@github.com:rohitg00/awesome-devops-mcp-servers.git	THIRD_PARTY	216	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/awesome-mcp-servers	git@github.com:punkpeye/awesome-mcp-servers.git	THIRD_PARTY	8551	0	0	2		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/aws-mcp	git@github.com:awslabs/mcp.git	THIRD_PARTY	1651	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/brave-search	git@github.com:brave/brave-search-mcp-server.git	THIRD_PARTY	575	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/browserbase-mcp	git@github.com:browserbase/mcp-server-browserbase.git	THIRD_PARTY	199	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/cloudflare-mcp	git@github.com:cloudflare/mcp-server-cloudflare.git	THIRD_PARTY	367	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/context7-mcp	git@github.com:upstash/context7.git	THIRD_PARTY	891	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/create-python-server	git@github.com:modelcontextprotocol/create-python-server.git	THIRD_PARTY	24	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/create-typescript-server	git@github.com:modelcontextprotocol/create-typescript-server.git	THIRD_PARTY	49	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/docs-mcp	git@github.com:RohitKrish46/docs-mcp-server.git	THIRD_PARTY	22	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/elasticsearch-mcp	git@github.com:elastic/mcp-server-elasticsearch.git	THIRD_PARTY	123	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/ever-works-awesome-mcp	git@github.com:ever-works/awesome-mcp-servers.git	THIRD_PARTY	55	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/firecrawl-mcp	git@github.com:mendableai/firecrawl-mcp-server.git	THIRD_PARTY	363	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/github-mcp-server	git@github.com:github/github-mcp-server.git	THIRD_PARTY	976	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/habito-awesome-mcp	git@github.com:habitoai/awesome-mcp-servers.git	THIRD_PARTY	10	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/heroku-mcp	git@github.com:heroku/heroku-mcp-server.git	THIRD_PARTY	144	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/inspector	git@github.com:modelcontextprotocol/inspector.git	THIRD_PARTY	2063	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/k8s-mcp-server	git@github.com:alexei-led/k8s-mcp-server.git	THIRD_PARTY	111	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/kubernetes-mcp	git@github.com:manusa/kubernetes-mcp-server.git	THIRD_PARTY	965	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/langchain-mcp	git@github.com:langchain-ai/langchain-mcp-adapters.git	THIRD_PARTY	184	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/llamaindex-mcp	git@github.com:run-llama/mcp-llamaindex-ai.git	THIRD_PARTY	63	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/mcp-playwright-ea	git@github.com:executeautomation/mcp-playwright.git	THIRD_PARTY	312	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/microsoft-mcp	git@github.com:microsoft/mcp.git	THIRD_PARTY	2007	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/mongodb-mcp	git@github.com:mongodb-js/mongodb-mcp-server.git	THIRD_PARTY	898	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/notion-mcp-server	git@github.com:makenotion/notion-mcp-server.git	THIRD_PARTY	94	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/obsidian-mcp	git@github.com:cyanheads/obsidian-mcp-server.git	THIRD_PARTY	268	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/omnisearch-mcp	git@github.com:spences10/mcp-omnisearch.git	THIRD_PARTY	327	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/perplexity-mcp	git@github.com:perplexityai/modelcontextprotocol.git	THIRD_PARTY	136	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/playwright-mcp	git@github.com:microsoft/playwright-mcp.git	THIRD_PARTY	560	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/python-sdk	git@github.com:modelcontextprotocol/python-sdk.git	THIRD_PARTY	976	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/qdrant-mcp	git@github.com:qdrant/mcp-server-qdrant.git	THIRD_PARTY	77	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/redis-mcp	git@github.com:redis/mcp-redis.git	THIRD_PARTY	389	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/registry	git@github.com:modelcontextprotocol/registry.git	THIRD_PARTY	648	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/sentry-mcp	git@github.com:getsentry/sentry-mcp.git	THIRD_PARTY	1112	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/slack-mcp	git@github.com:korotovsky/slack-mcp-server.git	THIRD_PARTY	445	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/supabase-mcp	git@github.com:supabase-community/supabase-mcp.git	THIRD_PARTY	392	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/telegram-mcp	git@github.com:chigwell/telegram-mcp.git	THIRD_PARTY	306	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/trello-mcp	git@github.com:delorenj/mcp-server-trello.git	THIRD_PARTY	239	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/typescript-sdk	git@github.com:modelcontextprotocol/typescript-sdk.git	THIRD_PARTY	1573	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/MCP/submodules/workers-mcp	git@github.com:cloudflare/workers-mcp.git	THIRD_PARTY	43	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/cli_agents/continue	git@github.com:continuedev/continue.git	THIRD_PARTY	21566	0	0	31		THIRD_PARTY_VENDORED
submodules/helix_agent/cli_agents/kilo-code	git@github.com:Kilo-Org/kilocode.git	THIRD_PARTY	25081	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/cli_agents/mobile-agent	git@github.com:X-PLUG/MobileAgent.git	THIRD_PARTY	420	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/cli_agents/opencode-cli	git@github.com:anomalyco/opencode.git	THIRD_PARTY	14835	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/cli_agents/openhands	git@github.com:All-Hands-AI/OpenHands.git	THIRD_PARTY	7014	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/cli_agents/roo-code	git@github.com:RooVetGit/Roo-Code.git	THIRD_PARTY	7073	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/docs/research/AutoRedTeam	git@github.com:elder-plinius/AutoRedTeam.git	THIRD_PARTY	11	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/docs/research/CL4R1T4S	git@github.com:elder-plinius/CL4R1T4S.git	THIRD_PARTY	189	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/docs/research/CLAUDE-CODE-SYSTEM-PROMPT	git@github.com:elder-plinius/CLAUDE-CODE-SYSTEM-PROMPT.git	THIRD_PARTY	4	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/docs/research/Gandalf-Solutions	git@github.com:elder-plinius/Gandalf-Solutions.git	THIRD_PARTY	10	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/docs/research/LEAKHUB	git@github.com:elder-plinius/LEAKHUB.git	THIRD_PARTY	20	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/external/cognee	git@github.com:topoteretes/cognee.git	THIRD_PARTY	8438	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/external/mcp-servers/servers-archived	git@github.com:modelcontextprotocol/servers-archived.git	THIRD_PARTY	2572	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_agent/tools/snow-cli	git@github.com:MayDay-wpf/snow-cli.git	THIRD_PARTY	1099	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_llm	git@github.com:HelixDevelopment/HelixLLM.git	OURS	421	0	421	0		OURS_DEVELOPED
submodules/helix_memory	git@github.com:HelixDevelopment/HelixMemory.git	OURS	54	0	54	0		OURS_DEVELOPED
submodules/helix_qa	git@github.com:HelixDevelopment/HelixQA.git	OURS	897	0	585	0		OURS_DEVELOPED
submodules/helix_qa/tools/opensource/allure2	git@github.com:allure-framework/allure2.git	THIRD_PARTY	1519	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/anthropic-quickstarts	git@github.com:anthropics/anthropic-quickstarts.git	THIRD_PARTY	85	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/appcrawler	git@github.com:nicetester/AppCrawler.git	THIRD_PARTY	164	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/appium	git@github.com:appium/appium.git	THIRD_PARTY	12357	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/browser-use	git@github.com:browser-use/browser-use.git	THIRD_PARTY	9832	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/chroma	git@github.com:chroma-core/chroma.git	THIRD_PARTY	4528	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/docker-android	git@github.com:budtmo/docker-android.git	THIRD_PARTY	745	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/docling	git@github.com:DS4SD/docling.git	THIRD_PARTY	1173	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/kiwi-tcms	git@github.com:kiwitcms/Kiwi.git	THIRD_PARTY	7503	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/leakcanary	git@github.com:square/leakcanary.git	THIRD_PARTY	2359	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/llama-index	git@github.com:run-llama/llama_index.git	THIRD_PARTY	7855	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/marker	git@github.com:VikParuchuri/marker.git	THIRD_PARTY	1364	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/mem0	git@github.com:mem0ai/mem0.git	THIRD_PARTY	2433	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/mem0/evaluation	https://github.com/mem0ai/memory-benchmarks	THIRD_PARTY	15	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/midscene	git@github.com:web-infra-dev/midscene.git	THIRD_PARTY	2046	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/moondream	git@github.com:vikhyat/moondream.git	THIRD_PARTY	322	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/perfetto	git@github.com:google/perfetto.git	THIRD_PARTY	82362	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/redroid	git@github.com:remote-android/redroid-doc.git	THIRD_PARTY	96	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/scrcpy	git@github.com:Genymobile/scrcpy.git	THIRD_PARTY	3097	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/shortest	git@github.com:antiwork/shortest.git	THIRD_PARTY	748	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/signoz	git@github.com:SigNoz/signoz.git	THIRD_PARTY	6502	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/skyvern	git@github.com:Skyvern-AI/skyvern.git	THIRD_PARTY	5597	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/skyvern/integrations/n8n	https://github.com/Skyvern-AI/skyvern-n8n	THIRD_PARTY	4	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/stagehand	git@github.com:browserbase/stagehand.git	THIRD_PARTY	1376	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/testdriverai	git@github.com:testdriverai/testdriverai.git	THIRD_PARTY	1212	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/ui-tars	git@github.com:bytedance/UI-TARS.git	THIRD_PARTY	108	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/ui-tars-desktop	git@github.com:bytedance/UI-TARS-desktop.git	THIRD_PARTY	1110	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/opensource/unstructured	git@github.com:Unstructured-IO/unstructured.git	THIRD_PARTY	1904	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_qa/tools/test-apps/rest-demo	git@github.com:nicehash/rest-clients-demo.git	THIRD_PARTY	49	0	0	0		THIRD_PARTY_VENDORED
submodules/helix_specifier	git@github.com:HelixDevelopment/HelixSpecifier.git	OURS	49	0	49	0		OURS_DEVELOPED
submodules/hyper_tune	git@github.com:vasic-digital/HyperTune.git	OURS	27	0	27	0		OURS_DEVELOPED
submodules/i18n	git@github.com:vasic-digital/I18n.git	OURS	20	0	20	0		OURS_DEVELOPED
submodules/i_llm	git@github.com:vasic-digital/I-LLM.git	OURS	27	0	27	0		OURS_DEVELOPED
submodules/lazy	git@github.com:vasic-digital/Lazy.git	OURS	55	0	47	0		OURS_DEVELOPED
submodules/leak_hub	git@github.com:vasic-digital/LeakHub.git	OURS	26	0	26	0		OURS_DEVELOPED
submodules/llm_ops	git@github.com:vasic-digital/LLMOps.git	OURS	38	0	38	0		OURS_DEVELOPED
submodules/llm_orchestrator	git@github.com:HelixDevelopment/LLMOrchestrator.git	OURS	171	0	171	0		OURS_DEVELOPED
submodules/llm_provider	git@github.com:HelixDevelopment/LLMProvider.git	OURS	182	0	182	0		OURS_DEVELOPED
submodules/llms_verifier	git@github.com:vasic-digital/LLMsVerifier.git	OURS	667	0	667	0		OURS_DEVELOPED
submodules/mcp_module	git@github.com:vasic-digital/MCP_Module.git	OURS	42	0	42	0		OURS_DEVELOPED
submodules/memory	git@github.com:vasic-digital/Memory.git	OURS	71	0	69	0		OURS_DEVELOPED
submodules/messaging	git@github.com:vasic-digital/Messaging.git	OURS	45	0	45	0		OURS_DEVELOPED
submodules/middleware	git@github.com:vasic-digital/Middleware.git	OURS	91	0	89	0		OURS_DEVELOPED
submodules/models	git@github.com:vasic-digital/Models.git	OURS	44	0	44	0		OURS_DEVELOPED
submodules/normalize	git@github.com:vasic-digital/Normalize.git	OURS	25	0	25	0		OURS_DEVELOPED
